"p1","p2","days","inst1_1","inst1_2","inst2_1","inst2_2","inst3_1","inst3_2","inst4_1","inst4_2","inst5_1","inst5_2"
"grab {a0} at {a1}","take {a0} at {a1}","18","grabbing <font color='#d95f02'>soldiers</font> at <font color='#7570b3'>paris airport</font>","taking <font color='#d95f02'>a soldiers gun</font> at <font color='#7570b3'>paris airport</font>","grabbing <font color='#d95f02'>a soldier's gun</font> at <font color='#7570b3'>paris orly airport</font>","taking <font color='#d95f02'>a soldiers gun</font> at <font color='#7570b3'>orly</font>","taking <font color='#d95f02'>soldier's gun</font> at <font color='#7570b3'>orly airport</font>","grabbing <font color='#d95f02'>a soldier's gun</font> at <font color='#7570b3'>paris orly airport</font>","taking <font color='#d95f02'>a soldiers gun</font> at <font color='#7570b3'>paris airport</font>","grabbing <font color='#d95f02'>soldiers</font> at <font color='#7570b3'>paris airport</font>","grabbing <font color='#d95f02'>a soldier's gun</font> at <font color='#7570b3'>airport</font>","taking <font color='#d95f02'>a soldiers gun</font> at <font color='#7570b3'>paris airport</font>"
"{a0} could reverse {a1}","{a0} propose {a1}","18-19","<font color='#d95f02'>trump</font> could reverse <font color='#7570b3'>cuts</font>","<font color='#d95f02'>trump</font> proposes <font color='#7570b3'>deep cuts</font>","<font color='#d95f02'>trump</font> proposes <font color='#7570b3'>deep transportation cuts</font>","<font color='#d95f02'>trump</font> could reverse <font color='#7570b3'>cuts</font>","<font color='#d95f02'>trump</font> could reverse <font color='#7570b3'>cuts</font>","<font color='#d95f02'>trump</font> proposes <font color='#7570b3'>cuts</font>","<font color='#d95f02'>trump</font> could reverse <font color='#7570b3'>cuts</font>","<font color='#d95f02'>trumps</font> proposed <font color='#7570b3'>cuts</font>","<font color='#d95f02'>trump budget</font> proposes <font color='#7570b3'>cuts</font>","<font color='#d95f02'>trump</font> could reverse <font color='#7570b3'>cuts</font>"
"{a0} freeze {a1}","{a0} put {a1}","21","<font color='#d95f02'>federal judge</font> freezes <font color='#7570b3'>trumps revised travel ban</font>","<font color='#d95f02'>federal judge</font> puts <font color='#7570b3'>trump's revised travel ban</font>","<font color='#d95f02'>federal judge</font> puts <font color='#7570b3'>trump travel ban</font>","<font color='#d95f02'>federal judge</font> freezes <font color='#7570b3'>trump travel ban</font>","<font color='#d95f02'>judges</font> put <font color='#7570b3'>travel ban</font>","<font color='#d95f02'>judge</font> freezes <font color='#7570b3'>trump's revamped travel ban</font>","<font color='#d95f02'>judge</font> freezes <font color='#7570b3'>travel ban</font>","<font color='#d95f02'>judge</font> puts <font color='#7570b3'>revised federal travel ban</font>","<font color='#d95f02'>judge</font> freezes <font color='#7570b3'>trump's revamped travel ban</font>","<font color='#d95f02'>judge</font> puts <font color='#7570b3'>trump's revised travelban</font>"
"{a0} offer {a1}","{a0} owe {a1}","18-19","<font color='#d95f02'>gchq - trump</font> offers <font color='#7570b3'>no apology</font>","<font color='#d95f02'>trump</font> owes <font color='#7570b3'>an apology</font>","<font color='#d95f02'>trump</font> offers <font color='#7570b3'>no apology claim</font>","<font color='#d95f02'>trump</font> owes <font color='#7570b3'>apology</font>","<font color='#d95f02'>trump</font> owes <font color='#7570b3'>an apology</font>","<font color='#d95f02'>trump</font> offers <font color='#7570b3'>no apology</font>","<font color='#d95f02'>trump</font> owes <font color='#7570b3'>apology</font>","<font color='#d95f02'>trump</font> offers <font color='#7570b3'>no apology</font>","<font color='#d95f02'>trump</font> offers <font color='#7570b3'>no apology</font>","<font color='#d95f02'>donald trump</font> owes <font color='#7570b3'>an apology</font>"
"{a0} run at {a1}","{a0} shoot at {a1}","17","<font color='#d95f02'>indefensible bbc news - runaway new zealand sniffer dog</font> shot at <font color='#7570b3'>airport</font>","<font color='#d95f02'>sniffer dog</font> runs at <font color='#7570b3'>airport</font>","<font color='#d95f02'>dog</font> running at <font color='#7570b3'>airport</font>","<font color='#d95f02'>pr101 - runaway new zealand sniffer dog</font> shot at <font color='#7570b3'>airport</font>","<font color='#d95f02'>pr101 - runaway new zealand sniffer dog</font> shot at <font color='#7570b3'>airport</font>","<font color='#d95f02'>dog</font> running at <font color='#7570b3'>airport</font>","<font color='#d95f02'>dog</font> running at <font color='#7570b3'>airport</font>","<font color='#d95f02'>runaway 10 month old trainee sniffer dog</font> shot at <font color='#7570b3'>airport</font>","<font color='#d95f02'>sniffer dog</font> runs at <font color='#7570b3'>airport</font>","<font color='#d95f02'>pr101 - runaway new zealand sniffer dog</font> shot at <font color='#7570b3'>airport</font>"
"{a0} meet with {a1}","{a0} meet {a1}","19","<font color='#d95f02'>tillerson</font> meets <font color='#7570b3'>xi jinping</font>","<font color='#d95f02'>tillerson</font> meets with <font color='#7570b3'>china's xi jinping</font>","<font color='#d95f02'>trump</font> meets with <font color='#7570b3'>merkel</font>","<font color='#d95f02'>trump</font> meets <font color='#7570b3'>merkel - g20 kicks</font>","<font color='#d95f02'>tillerson</font> meets <font color='#7570b3'>chinese leaders</font>","<font color='#d95f02'>tillerson</font> meets with <font color='#7570b3'>chinese leaders</font>","<font color='#d95f02'>trump</font> met <font color='#7570b3'>the russian ambassador</font>","<font color='#d95f02'>trump</font> met with <font color='#7570b3'>russian ambassador</font>","<font color='#d95f02'>trump</font> met <font color='#7570b3'>russian ambassador</font>","<font color='#d95f02'>trump</font> met with <font color='#7570b3'>russian ambassador</font>"
"{a0} call for {a1}","{a0} propose {a1}","16-20","<font color='#d95f02'>trump</font> proposes <font color='#7570b3'>billion</font>","<font color='#d95f02'>trump budget</font> calls for <font color='#7570b3'>billions</font>","<font color='#d95f02'>trump budget</font> calls for <font color='#7570b3'>billions</font>","<font color='#d95f02'>trump</font> proposes <font color='#7570b3'>billion</font>","<font color='#d95f02'>trump</font> calls for <font color='#7570b3'>cuts</font>","<font color='#d95f02'>trump</font> proposes <font color='#7570b3'>massive aid cuts</font>","<font color='#d95f02'>budget</font> proposes <font color='#7570b3'>cut</font>","<font color='#d95f02'>: president trump's budget blueprint</font> calls for <font color='#7570b3'>cuts</font>","<font color='#d95f02'>trump budget</font> calls for <font color='#7570b3'>massive cuts</font>","<font color='#d95f02'>trump</font> proposes <font color='#7570b3'>massive aid cuts</font>"
"{a0} eliminate {a1}","{a0} would cut {a1}","16-17-18-21","<font color='#d95f02'>trump's budget</font> eliminates <font color='#7570b3'>federal funding</font>","<font color='#d95f02'>trumps budget</font> would cut <font color='#7570b3'>funding</font>","<font color='#d95f02'>trump's budget</font> eliminates <font color='#7570b3'>funding</font>","<font color='#d95f02'>trump's budget</font> would cut <font color='#7570b3'>infrastructure funding</font>","<font color='#d95f02'>trumps budget</font> would cut <font color='#7570b3'>funding</font>","<font color='#d95f02'>trump budget</font> eliminates <font color='#7570b3'>funds</font>","<font color='#d95f02'>trump's proposed budget</font> would cut <font color='#7570b3'>env protection agency's funding</font>","<font color='#d95f02'>trump's proposed budget</font> eliminates <font color='#7570b3'>funding</font>","<font color='#d95f02'>trumps budget</font> would cut <font color='#7570b3'>funding</font>","<font color='#d95f02'>trump's budget</font> eliminates <font color='#7570b3'>funding</font>"
"{a0} include {a1}","{a0} propose {a1}","17","<font color='#d95f02'>trump</font> proposes <font color='#7570b3'>deep cuts</font>","<font color='#d95f02'>trump budget</font> includes <font color='#7570b3'>deep cuts</font>","<font color='#d95f02'>trump</font> includes <font color='#7570b3'>cuts</font>","<font color='#d95f02'>trump</font> proposed <font color='#7570b3'>budget cuts</font>","<font color='#d95f02'>trump budget</font> includes <font color='#7570b3'>deep cuts</font>","<font color='#d95f02'>trump's budget</font> proposes <font color='#7570b3'>cuts</font>","<font color='#d95f02'>trump</font> includes <font color='#7570b3'>cuts</font>","<font color='#d95f02'>trump</font> proposes <font color='#7570b3'>cuts</font>","<font color='#d95f02'>trump's budget</font> includes <font color='#7570b3'>drastic cuts</font>","<font color='#d95f02'>trump's budget</font> proposes <font color='#7570b3'>cuts</font>"
"{a0} die at {a1}","{a0} have die {a1}","21-22","<font color='#d95f02'>chuck barris gong show creator</font> dies at <font color='#7570b3'>87</font>","<font color='#d95f02'>chuck barris</font> has died <font color='#7570b3'>87</font>","<font color='#d95f02'>' roll legend chuck berry</font> dies at <font color='#7570b3'>90</font>","<font color='#d95f02'>chuck berry</font> has died <font color='#7570b3'>90</font>","<font color='#d95f02'>chuck berry</font> has died <font color='#7570b3'>90</font>","<font color='#d95f02'>chuck berry</font> dies at <font color='#7570b3'>90 - rip chuck</font>","<font color='#d95f02'>jilevin legend chuck berry</font> dies at <font color='#7570b3'>90</font>","<font color='#d95f02'>berry</font> has died <font color='#7570b3'>90</font>","<font color='#d95f02'>derblauweissetwittertimes chuck berry</font> dies at <font color='#7570b3'>90</font>","<font color='#d95f02'>berry</font> has died <font color='#7570b3'>90</font>"
"{a0} propose {a1}","{a0} unveil {a1}","18-22","<font color='#d95f02'>trump</font> unveils <font color='#7570b3'>first budget</font>","<font color='#d95f02'>trump</font> proposes <font color='#7570b3'>a budget</font>","<font color='#d95f02'>trump</font> unveils <font color='#7570b3'>first budget blueprint</font>","<font color='#d95f02'>trumps</font> proposed <font color='#7570b3'>budget</font>","<font color='#d95f02'>trump</font> proposes <font color='#7570b3'>deep cuts</font>","<font color='#d95f02'>trump</font> unveils <font color='#7570b3'>deep cuts</font>","<font color='#d95f02'>no surprise trump</font> unveils <font color='#7570b3'>a budget</font>","<font color='#d95f02'>trump</font> proposes <font color='#7570b3'>budget</font>","<font color='#d95f02'>trump</font> unveils <font color='#7570b3'>$1.15 trillion budget</font>","<font color='#d95f02'>trump</font> proposes <font color='#7570b3'>budget</font>"
"{a0} be find in {a1}","{a0} recover in {a1}","21","<font color='#d95f02'>tom brady's stolen super bowl jersey</font> was found in <font color='#7570b3'>mexico</font>","<font color='#d95f02'>tom brady's stolen super bowl jerseys</font> recovered in <font color='#7570b3'>mexico | fox business</font>","<font color='#d95f02'>tom brady's stolen super bowl jerseys</font> recovered in <font color='#7570b3'>mexico - tom brady's super bowl jersey</font>","<font color='#d95f02'>tom brady's missing super bowl jersey</font> was found in <font color='#7570b3'>mexico</font>","<font color='#d95f02'>tom brady's super bowl jersey</font> recovered in <font color='#7570b3'>mexico</font>","<font color='#d95f02'>tom brady's stolen super bowl jersey</font> is found in <font color='#7570b3'>mexico</font>","<font color='#d95f02'>tom brady's super bowl jersey</font> is found in <font color='#7570b3'>mexico</font>","<font color='#d95f02'>tom brady's stolen super bowl jerseys</font> recovered in <font color='#7570b3'>mexico</font>","<font color='#d95f02'>tom brady's missing super bowl jersey</font> was found in <font color='#7570b3'>mexico</font>","<font color='#d95f02'>new england patriots qb tom brady's missing super bowl jersey</font> recovered in <font color='#7570b3'>mexico</font>"
"{a0} block {a1}","{a0} freeze {a1}","16-21","<font color='#d95f02'>judges</font> block <font color='#7570b3'>travel ban</font>","<font color='#d95f02'>judge</font> freezes <font color='#7570b3'>trump's revamped travel ban</font>","<font color='#d95f02'>a federal judge</font> blocked <font color='#7570b3'>trump's new travel ban</font>","<font color='#d95f02'>federal judge</font> freezes <font color='#7570b3'>trump's new travel ban</font>","<font color='#d95f02'>judge</font> blocked <font color='#7570b3'>the latest travel ban ht</font>","<font color='#d95f02'>judge</font> freezes <font color='#7570b3'>travel ban</font>","<font color='#d95f02'>federal judge</font> freezes <font color='#7570b3'>trumps revised travel ban</font>","<font color='#d95f02'>federal judges</font> block <font color='#7570b3'>the revised travel ban</font>","<font color='#d95f02'>judge</font> freezes <font color='#7570b3'>travel ban</font>","<font color='#d95f02'>judge</font> blocked <font color='#7570b3'>donald trump's travel ban</font>"
"{a0} have {a1}","{a0} move into {a1}","22","<font color='#d95f02'>ivanka trump</font> has <font color='#7570b3'>west wing office no official job title</font>","<font color='#d95f02'>.ivankatrump</font> moving into <font color='#7570b3'>west wing office</font>","<font color='#d95f02'>ivanka trump</font> has <font color='#7570b3'>west wing office</font>","<font color='#d95f02'>ivanka trump</font> moves into <font color='#7570b3'>a west wing office</font>","<font color='#d95f02'>ivanka trump</font> moves into <font color='#7570b3'>a west wing office</font>","<font color='#d95f02'>ivanka</font> has <font color='#7570b3'>west wing office</font>","<font color='#d95f02'>ivanka trump</font> moves into <font color='#7570b3'>a west wing office</font>","<font color='#d95f02'>ivankatrump</font> has <font color='#7570b3'>west wing office</font>","<font color='#d95f02'>trump</font> moves into <font color='#7570b3'>west wing office</font>","<font color='#d95f02'>ivanka trump</font> has <font color='#7570b3'>west wing effico</font>"
"{a0} would cut {a1}","{a0} would eliminate {a1}","19-22","<font color='#d95f02'>trump budget</font> would eliminate <font color='#7570b3'>funding</font>","<font color='#d95f02'>trump budget</font> would cut <font color='#7570b3'>epa funding</font>","<font color='#d95f02'>trump budget</font> would eliminate <font color='#7570b3'>funding</font>","<font color='#d95f02'>trumps budget</font> would cut <font color='#7570b3'>epa funding</font>","<font color='#d95f02'>trump budget</font> would cut <font color='#7570b3'>nih funding</font>","<font color='#d95f02'>trump budget</font> would eliminate <font color='#7570b3'>funding</font>","<font color='#d95f02'>proposed budget</font> would cut <font color='#7570b3'>funds</font>","<font color='#d95f02'>trump's 2018 proposed budget</font> would eliminate <font color='#7570b3'>funds</font>","<font color='#d95f02'>trump budget</font> would eliminate <font color='#7570b3'>funding</font>","<font color='#d95f02'>trump budget</font> would cut <font color='#7570b3'>nih funding</font>"
"{a0} get {a1}","{a0} will get {a1}","22","<font color='#d95f02'>ivanka trump</font> gets <font color='#7570b3'>west wing office</font>","<font color='#d95f02'>ivanka trump</font> will get <font color='#7570b3'>a west wing office</font>","<font color='#d95f02'>rt ''ivanka trump</font> will get <font color='#7570b3'>a west wing office</font>","<font color='#d95f02'>ivanka trump</font> gets <font color='#7570b3'>west wing office access</font>","<font color='#d95f02'>ivanka trump</font> gets <font color='#7570b3'>west wing office security clearance</font>","<font color='#d95f02'>ivanka</font> will get <font color='#7570b3'>a west wing office national security clearance</font>","<font color='#d95f02'>conservatives</font> get <font color='#7570b3'>their shot</font>","<font color='#d95f02'>conservatives</font> will get <font color='#7570b3'>their shot</font>","<font color='#d95f02'>australia ivanka trump</font> gets <font color='#7570b3'>west wing office</font>","<font color='#d95f02'>ivanka trump</font> will get <font color='#7570b3'>a west wing office</font>"
"{a0} tell {a1}","{a0} urge {a1}","21","<font color='#d95f02'>irish pm enda kenny</font> tells <font color='#7570b3'>trump</font>","<font color='#d95f02'>enda kenny</font> urges <font color='#7570b3'>trump</font>","<font color='#d95f02'>irish pm enda kenny</font> tells <font color='#7570b3'>trump</font>","<font color='#d95f02'>enda kenny</font> urges <font color='#7570b3'>trump</font>","<font color='#d95f02'>tillerson</font> urges <font color='#7570b3'>china</font>","<font color='#d95f02'>tillerson</font> tells <font color='#7570b3'>the korean truth--warns china</font>","<font color='#d95f02'>irish pm enda kenny</font> urges <font color='#7570b3'>trump</font>","<font color='#d95f02'>irish pm enda kenny</font> tells <font color='#7570b3'>trump</font>","<font color='#d95f02'>74 tech leaders</font> urge <font color='#7570b3'>congress</font>","<font color='#d95f02'>tech leaders</font> tell <font color='#7570b3'>congress</font>"
"{a0} have establish {a1}","{a0} impose {a1}","16","<font color='#d95f02'>israel</font> has established <font color='#7570b3'>an 'apartheid regime</font>","<font color='#d95f02'>israel</font> imposes <font color='#7570b3'>'apartheid regime</font>","<font color='#d95f02'>israel</font> imposing <font color='#7570b3'>apartheid</font>","<font color='#d95f02'>israel</font> has established <font color='#7570b3'>''an apartheid regime</font>","<font color='#d95f02'>israel</font> has established <font color='#7570b3'>an 'apartheid regime</font>","<font color='#d95f02'>israel</font> imposes <font color='#7570b3'>apartheid regime</font>","<font color='#d95f02'>israel</font> has established <font color='#7570b3'>an 'apartheid regime</font>","<font color='#d95f02'>israel</font> imposes <font color='#7570b3'>'apartheid regime</font>","<font color='#d95f02'>israel</font> has established <font color='#7570b3'>''an apartheid regime</font>","<font color='#d95f02'>israel</font> imposes <font color='#7570b3'>apartheid regime</font>"
"{a0} die at {a1}","{a0} turn {a1}","22","<font color='#d95f02'>chuck berry</font> turned <font color='#7570b3'>90</font>","<font color='#d95f02'>chuck berry chuck berry</font> dies at <font color='#7570b3'>90</font>","<font color='#d95f02'>chuck berry</font> turned <font color='#7570b3'>90</font>","<font color='#d95f02'>washington post chuck berry</font> dies at <font color='#7570b3'>90</font>","<font color='#d95f02'>chuck berry</font> turned <font color='#7570b3'>90</font>","<font color='#d95f02'>rock visionary chuck berry</font> dies at <font color='#7570b3'>90</font>","<font color='#d95f02'>chuck berry</font> turned <font color='#7570b3'>90</font>","<font color='#d95f02'>rock n roll icon chuck berry</font> dies at <font color='#7570b3'>90</font>","<font color='#d95f02'>chuck berry</font> turned <font color='#7570b3'>90</font>","<font color='#d95f02'>rock n roll pioneer legend chuck berry</font> dies at <font color='#7570b3'>90</font>"
"{a0} approve {a1}","{a0} clear {a1}","17","<font color='#d95f02'>cabinet</font> clears <font color='#7570b3'>four gst bills</font>","<font color='#d95f02'>cabinet</font> approves <font color='#7570b3'>4 gst bills</font>","<font color='#d95f02'>union cabinet</font> approves <font color='#7570b3'>nationalhealthpolicy</font>","<font color='#d95f02'>cabinet</font> clears <font color='#7570b3'>national health policy</font>","<font color='#d95f02'>gst council</font> clears <font color='#7570b3'>sgst</font>","<font color='#d95f02'>gst council</font> approves <font color='#7570b3'>sgst</font>","<font color='#d95f02'>cabinet</font> clears <font color='#7570b3'>4 bills</font>","<font color='#d95f02'>union cabinet</font> approved <font color='#7570b3'>four bills</font>","<font color='#d95f02'>cabinet</font> approves <font color='#7570b3'>national health policy</font>","<font color='#d95f02'>cabinet</font> clears <font color='#7570b3'>national health policy</font>"
"{a0} be write {a1}","{a0} will release {a1}","17-19-20","<font color='#d95f02'>chelsea clinton</font> will release <font color='#7570b3'>a childrens book</font>","<font color='#d95f02'>technos chelsea clinton</font> is writing <font color='#7570b3'>a children's book</font>","<font color='#d95f02'>chelsea clinton</font> will release <font color='#7570b3'>a children's book</font>","<font color='#d95f02'>conface chelsea clinton</font> is writing <font color='#7570b3'>a children's book</font>","<font color='#d95f02'>chelsea clinton</font> will release <font color='#7570b3'>a childrens book</font>","<font color='#d95f02'>conface chelsea clinton</font> is writing <font color='#7570b3'>a children's book</font>","<font color='#d95f02'>chelsea clinton</font> will release <font color='#7570b3'>a childrens book</font>","<font color='#d95f02'>mashable chelsea clinton</font> is writing <font color='#7570b3'>a children's book</font>","<font color='#d95f02'>chelsea clinton</font> is writing <font color='#7570b3'>a children's book</font>","<font color='#d95f02'>chelsea clinton</font> will release <font color='#7570b3'>a children's book</font>"
"{a0} lose {a1}","{a0} would lose {a1}","18-19","<font color='#d95f02'>millions</font> lose <font color='#7570b3'>their work-based coverage check</font>","<font color='#d95f02'>million</font> would lose <font color='#7570b3'>coverage</font>","<font color='#d95f02'>millions</font> would lose <font color='#7570b3'>coverage</font>","<font color='#d95f02'>millions</font> lose <font color='#7570b3'>their work-based coverage congress</font>","<font color='#d95f02'>millions</font> lose <font color='#7570b3'>coverage</font>","<font color='#d95f02'>millions</font> would lose <font color='#7570b3'>coverage</font>","<font color='#d95f02'>millions</font> lose <font color='#7570b3'>their ''work-based,'' ''work-based'' coverage</font>","<font color='#d95f02'>million</font> would lose <font color='#7570b3'>coverage</font>","<font color='#d95f02'>millions</font> lose <font color='#7570b3'>their work-based coverage</font>","<font color='#d95f02'>millions</font> would lose <font color='#7570b3'>coverage</font>"
